1,AD,Europe/Andorra,42.5000N,1.5167E
2,AE,Asia/Dubai,25.2048N,55.2708E
3,AF,Asia/Kabul,34.5333N,69.1667E
4,AG,America/Antigua,17.1167N,61.8500W
5,AI,America/Anguilla,18.2272N,63.0490W
6,AL,Europe/Tirane,41.3260N,19.8160E
7,AM,Asia/Yerevan,40.1833N,44.5167E
8,AO,Africa/Luanda,8.8383S,13.2344E
9,AQ,Antarctica/McMurdo,77.8500S,166.6667E
10,AQ,Antarctica/Rothera,67.5667S,68.1333W
11,AQ,Antarctica/Palmer,64.7742S,64.0531W
12,AQ,Antarctica/Mawson,67.6021S,62.8748E
13,AQ,Antarctica/Davis,68.5764S,77.9689E
14,AQ,Antarctica/Casey,66.2817S,110.5244E
15,AQ,Antarctica/Vostok,78.4639S,106.8375E
16,AQ,Antarctica/DumontDUrville,66.6628S,140.0019E
17,AQ,Antarctica/Syowa,69.0000S,39.5833E
18,AQ,Antarctica/Troll,72.0114S,2.5350E
19,AR,America/Argentina/Buenos_Aires,34.6033S,58.3817W
20,AR,America/Argentina/Cordoba,37.8833N,4.7667W
21,AR,America/Argentina/Salta,24.7833S,65.4167W
22,AR,America/Argentina/Jujuy,24.1833S,65.3000W
23,AR,America/Argentina/Tucuman,26.9400S,65.3400W
24,AR,America/Argentina/Catamarca,28.4667S,65.7833W
25,AR,America/Argentina/La_Rioja,29.4125S,66.8542W
26,AR,America/Argentina/San_Juan,18.4500N,66.0667W
27,AR,America/Argentina/Mendoza,32.8833S,68.8167W
28,AR,America/Argentina/San_Luis,33.3000S,66.3333W
29,AR,America/Argentina/Rio_Gallegos,51.6333S,69.2167W
30,AR,America/Argentina/Ushuaia,54.8000S,68.3000W
31,AS,Pacific/Pago_Pago,14.2794S,170.7006W
32,AT,Europe/Vienna,48.2000N,16.3667E
33,AU,Australia/Lord_Howe,31.5500S,159.0833E
34,AU,Antarctica/Macquarie,54.6167S,158.8500E
35,AU,Australia/Hobart,42.8806S,147.3250E
36,AU,Australia/Currie,39.9311S,143.8506E
37,AU,Australia/Melbourne,37.8136S,144.9631E
38,AU,Australia/Sydney,33.8650S,151.2094E
39,AU,Australia/Broken_Hill,31.9567S,141.4678E
40,AU,Australia/Brisbane,27.4667S,153.0333E
41,AU,Australia/Lindeman,20.4500S,149.0333E
42,AU,Australia/Adelaide,34.9290S,138.6010E
43,AU,Australia/Darwin,12.4500S,130.8333E
44,AU,Australia/Perth,31.9522S,115.8589E
45,AU,Australia/Eucla,31.6750S,128.8831E
46,AW,America/Aruba,12.5000N,69.9667W
47,AX,Europe/Mariehamn,60.1000N,19.9333E
48,AZ,Asia/Baku,40.3953N,49.8822E
49,BA,Europe/Sarajevo,43.8667N,18.4167E
50,BB,America/Barbados,13.1667N,59.5500W
51,BD,Asia/Dhaka,23.7000N,90.3667E
52,BE,Europe/Brussels,50.8500N,4.3500E
53,BF,Africa/Ouagadougou,12.3572N,1.5353W
54,BG,Europe/Sofia,42.7000N,23.3333E
55,BH,Asia/Bahrain,26.0275N,50.5500E
56,BI,Africa/Bujumbura,3.3833S,29.3667E
